Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
intangibleAssets,13819000.0,15873000.0,6542000.0,6581000.0,APE.AX
totalLiab,3109074000.0,4036317000.0,1363690000.0,1038996000.0,APE.AX
totalStockholderEquity,910717000.0,812406000.0,627657000.0,775014000.0,APE.AX
minorityInterest,13860000.0,9423000.0,8002000.0,10761000.0,APE.AX
otherCurrentLiab,348846000.0,785562000.0,87116000.0,115088000.0,APE.AX
totalAssets,4033651000.0,4858146000.0,1999349000.0,1824771000.0,APE.AX
commonStock,1173069000.0,1173069000.0,371405000.0,369028000.0,APE.AX
retainedEarnings,317848000.0,199463000.0,380558000.0,367855000.0,APE.AX
otherLiab,47403000.0,87723000.0,24474000.0,27630000.0,APE.AX
goodWill,771755000.0,757301000.0,306783000.0,302833000.0,APE.AX
treasuryStock,-580200000.0,-560126000.0,-124306000.0,38131000.0,APE.AX
otherAssets,385812000.0,220428000.0,35069000.0,10600000.0,APE.AX
cash,209092000.0,94172000.0,18868000.0,10827000.0,APE.AX
totalCurrentLiabilities,1665761000.0,2545827000.0,818696000.0,762904000.0,APE.AX
deferredLongTermAssetCharges,162005000.0,176505000.0,26766000.0,,APE.AX
shortLongTermDebt,33842000.0,28206000.0,1377000.0,1026000.0,APE.AX
otherStockholderEquity,-580200000.0,-560126000.0,-124306000.0,38131000.0,APE.AX
propertyPlantEquipment,1295395000.0,1464558000.0,611166000.0,361121000.0,APE.AX
totalCurrentAssets,1562943000.0,2380814000.0,877938000.0,843603000.0,APE.AX
longTermInvestments,3927000.0,19172000.0,161851000.0,300033000.0,APE.AX
netTangibleAssets,125143000.0,39232000.0,314332000.0,465600000.0,APE.AX
netReceivables,296172000.0,309523000.0,156286000.0,168952000.0,APE.AX
longTermDebt,304513000.0,381885000.0,312614000.0,248462000.0,APE.AX
inventory,1025781000.0,1458927000.0,690167000.0,652652000.0,APE.AX
accountsPayable,144988000.0,171291000.0,66853000.0,56555000.0,APE.AX
otherCurrentAssets,,494978000.0,,,APE.AX
